Name,Z,Radius_Avg,Radius_SD,Radius_Min,Radius_Max,FitRadius_Avg,FitRadius_SD,FitRadius_Min,FitRadius_Max,AxisOffsetX,AxisOffsetY,AxisOffsetR,AxisOffsetPhi,AxisTilt,AxisCurvature,MajorSemiaxis,MinorSemiaxis,Eccentricity,EllipseRotation,SurfaceCoverage_Photoresist_Avg,SurfaceCoverage_Silicon_Avg,SurfaceCoverage_SiFx_Avg,Thickness_Silicon_Avg,Thickness_SiFx_Avg
shape_analysis,0.1635,0.0469816,0.00142023,0.0453045,0.0497901,0.0469816,0.00142023,0.0453045,0.0497901,0,0,0,0,0,0,0.0472308,0.0469515,0.00296513,360,0,0,1,0,0
shape_analysis,0.1645,0.0471199,0.00142265,0.0454836,0.0497378,0.0471199,0.00142265,0.0454836,0.0497378,0,0,0,0,0,0,0.047268,0.0471861,0.000867812,270,0,0,1,0,0
shape_analysis,0.1655,0.0468561,0.00137675,0.0453045,0.0497871,0.0468561,0.00137675,0.0453045,0.0497871,0,0,0,0,0,0,0.0477674,0.046152,0.0171998,270,0,0,1,0,0.000155084
shape_analysis,0.1665,0.046948,0.00146613,0.0453045,0.0497982,0.046948,0.00146613,0.0453045,0.0497982,0,0,0,0,0,0,0.0471718,0.0469544,0.00231007,90,0,0,1,0,2.35259e-05
shape_analysis,0.1675,0.0469553,0.00140194,0.0452604,0.0497131,0.0469553,0.00140194,0.0452604,0.0497131,0,0,0,0,0,0,0.047066,0.0470537,0.000130383,270,0,0,1,0,0
shape_analysis,0.1685,0.0469906,0.00143171,0.0453045,0.049767,0.0469906,0.00143171,0.0453045,0.049767,0,0,0,0,0,0,0.0471482,0.0470512,0.00103029,90,0,0,1,0,0
shape_analysis,0.1695,0.0470446,0.00141284,0.0454199,0.0496445,0.0470446,0.00141284,0.0454199,0.0496445,0,0,0,0,0,0,0.0472135,0.047088,0.00133078,360,0,0,1,0,0
shape_analysis,0.1705,0.0469511,0.00139944,0.0452604,0.0497409,0.0469511,0.00139944,0.0452604,0.0497409,0,0,0,0,0,0,0.0470817,0.0470294,0.00055573,270,0,0,1,0,0.000177783
shape_analysis,0.1715,0.0470289,0.0014164,0.0453045,0.0497166,0.0470289,0.0014164,0.0453045,0.0497166,0,0,0,0,0,0,0.0471379,0.0471331,5.07127e-05,1.52909e-11,0,0,1,0,0
shape_analysis,0.1725,0.0470269,0.00137743,0.0454791,0.04969,0.0470269,0.00137743,0.0454791,0.04969,0,0,0,0,0,0,0.0472578,0.047,0.00273568,360,0,0,1,0,0
shape_analysis,0.1735,0.0469995,0.00141364,0.0453045,0.0497026,0.0469995,0.00141364,0.0453045,0.0497026,0,0,0,0,0,0,0.0473441,0.0468713,0.00501921,360,0,0,1,0,0
shape_analysis,0.1745,0.0469744,0.00142729,0.0453045,0.0496578,0.0469744,0.00142729,0.0453045,0.0496578,0,0,0,0,0,0,0.0471341,0.0470314,0.00109038,270,0,0,1,0,0
shape_analysis,0.1755,0.0469774,0.00145777,0.0452604,0.0497548,0.0469774,0.00145777,0.0452604,0.0497548,0,0,0,0,0,0,0.0472222,0.0469609,0.00277483,5.68434e-14,0,0,1,0,3.8444e-06
shape_analysis,0.1765,0.0470105,0.00147774,0.0452604,0.0497595,0.0470105,0.00147774,0.0452604,0.0497595,0,0,0,0,0,0,0.047151,0.0471018,0.000521908,5.11591e-13,0,0,1,0,0
shape_analysis,0.1775,0.0470632,0.00142137,0.0453045,0.0495631,0.0470632,0.00142137,0.0453045,0.0495631,0,0,0,0,0,0,0.0473732,0.0469677,0.00429803,0,0,0,1,0,0
shape_analysis,0.1785,0.0469595,0.00140722,0.0452604,0.0497102,0.0469595,0.00140722,0.0452604,0.0497102,0,0,0,0,0,0,0.0471368,0.046993,0.00152744,2.84217e-13,0,0,1,0,0.000679208
shape_analysis,0.1795,0.0469775,0.00145837,0.0452604,0.0497626,0.0469775,0.00145837,0.0452604,0.0497626,0,0,0,0,0,0,0.0471309,0.0470502,0.000857237,270,0,0,1,0,0.000292476
shape_analysis,0.1805,0.0471707,0.00138941,0.045562,0.0497852,0.0471707,0.00138941,0.045562,0.0497852,0,0,0,0,0,0,0.0473223,0.0472235,0.00104516,90,0,0,1,0,0
shape_analysis,0.1815,0.0471374,0.00137915,0.0455066,0.04971,0.0471374,0.00137915,0.0455066,0.04971,0,0,0,0,0,0,0.0472695,0.0472064,0.000667488,2.27374e-13,0,0,1,0,0
shape_analysis,0.1825,0.0470476,0.00143202,0.0454963,0.0497689,0.0470476,0.00143202,0.0454963,0.0497689,0,0,0,0,0,0,0.0471656,0.0471476,0.000190818,90,0,0,1,0,0
shape_analysis,0.1835,0.0470023,0.00142907,0.045161,0.0497133,0.0470023,0.00142907,0.045161,0.0497133,0,0,0,0,0,0,0.0471173,0.0471046,0.000134158,270,0,0,1,0,0
shape_analysis,0.1845,0.0470532,0.00141073,0.0453045,0.0496923,0.0470532,0.00141073,0.0453045,0.0496923,0,0,0,0,0,0,0.0472133,0.0471047,0.00115141,90,0,0,1,0,0
shape_analysis,0.1855,0.0469714,0.0014053,0.0453245,0.0497324,0.0469714,0.0014053,0.0453245,0.0497324,0,0,0,0,0,0,0.0471137,0.0470393,0.000790216,90,0,0.0205479,0.979452,0,0.000185747
shape_analysis,0.1865,0.0470556,0.00140573,0.0454435,0.0498157,0.0470556,0.00140573,0.0454435,0.0498157,0,0,0,0,0,0,0.0472289,0.0470917,0.00145409,270,0,0.0452489,0.954751,0,0
shape_analysis,0.1875,0.0470619,0.00147427,0.0452604,0.0498011,0.0470619,0.00147427,0.0452604,0.0498011,0,0,0,0,0,0,0.0472151,0.0471392,0.000804166,270,0,0,1,0,0
shape_analysis,0.1885,0.0468629,0.00132227,0.0453045,0.0496248,0.0468629,0.00132227,0.0453045,0.0496248,0,0,0,0,0,0,0.0474959,0.0464013,0.0116574,270,0,0,1,0,0.000124681
shape_analysis,0.1895,0.0471086,0.00138802,0.0455247,0.0497671,0.0471086,0.00138802,0.0455247,0.0497671,0,0,0,0,0,0,0.0474344,0.0469932,0.00467179,0,0,0,1,0,0
shape_analysis,0.1905,0.0470399,0.00143489,0.0453003,0.0498564,0.0470399,0.00143489,0.0453003,0.0498564,0,0,0,0,0,0,0.0472231,0.0470747,0.00157327,4.54747e-13,0,0,1,0,0
shape_analysis,0.1915,0.0468893,0.00142638,0.0452604,0.0497163,0.0468893,0.00142638,0.0452604,0.0497163,0,0,0,0,0,0,0.0470348,0.0469614,0.000780406,360,0,0,1,0,0
shape_analysis,0.1925,0.0469664,0.00141735,0.0453045,0.0497275,0.0469664,0.00141735,0.0453045,0.0497275,0,0,0,0,0,0,0.0471055,0.0470418,0.000676946,90,0,0,1,0,0
shape_analysis,0.1935,0.0469789,0.00146416,0.0450808,0.0497538,0.0469789,0.00146416,0.0450808,0.0497538,0,0,0,0,0,0,0.047131,0.0470549,0.000807523,360,0,0,1,0,0
shape_analysis,0.1945,0.0468776,0.00134851,0.0452604,0.0497178,0.0468776,0.00134851,0.0452604,0.0497178,0,0,0,0,0,0,0.0477288,0.0462198,0.0160622,270,0,0,1,0,0
shape_analysis,0.1955,0.0469001,0.00139312,0.0451609,0.0496415,0.0469001,0.00139312,0.0451609,0.0496415,0,0,0,0,0,0,0.0478419,0.0461629,0.0178601,90,0,0,1,0,0
shape_analysis,0.1965,0.0470316,0.00142652,0.0453999,0.0497036,0.0470316,0.00142652,0.0453999,0.0497036,0,0,0,0,0,0,0.0472177,0.0470621,0.00165036,90,0,0,1,0,0.000101343
shape_analysis,0.1975,0.0468725,0.00138319,0.04534,0.0496768,0.0468725,0.00138319,0.04534,0.0496768,0,0,0,0,0,0,0.0470662,0.0468843,0.00193556,270,0,0,1,0,0
shape_analysis,0.1985,0.0469582,0.00142151,0.0452604,0.0497124,0.0469582,0.00142151,0.0452604,0.0497124,0,0,0,0,0,0,0.0471996,0.0469345,0.00281601,270,0,0,1,0,0.000326729
shape_analysis,0.1995,0.0472053,0.00139606,0.0455718,0.0497603,0.0472053,0.00139606,0.0455718,0.0497603,0,0,0,0,0,0,0.0473231,0.047293,0.000318263,270,0,0,1,0,0
shape_analysis,0.2005,0.0472967,0.00113463,0.0460604,0.0493535,0.0472967,0.00113463,0.0460604,0.0493535,0,0,0,0,0,0,0.0473655,0.0473633,2.38811e-05,360,1,0,0,0,0
shape_analysis,0.2015,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2025,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
shape_analysis,0.2035,0.0472969,0.00113423,0.0460619,0.0493556,0.0472969,0.00113423,0.0460619,0.0493556,0,0,0,0,0,0,0.0473645,0.0473645,6.98565e-17,270,1,0,0,0,0
